batch_idx,algo,server_id,capacity,mu_j,sigma_j,actual_load,delta,overload
14,vag,0,3436.350297118406,3327.9078068835543,79.10780908585281,3483.362227723841,155.45442084028673,1
14,vag,1,4876.785766024791,4073.2751898674833,740.3414130914396,5785.0299405629075,1711.7547506954243,1
14,vag,2,4329.984854528513,3638.32316208951,665.4215573241204,4097.7922838157865,459.4691217262766,0
14,vag,3,3996.6462104925918,3813.2469701234245,177.32350659143611,3678.870257327022,-134.37671279640244,0
14,vag,4,2890.046601106091,2615.4798793955256,214.78183133503472,2735.369225782771,119.8893463872455,0
14,vag,5,2889.986300840507,2299.3635086005957,542.5133378805243,2983.5245586667033,684.1610500661077,1
14,vag,6,2645.2090304204985,2139.565818362952,431.02094939374564,2759.793704074249,620.227885711297,1
14,vag,7,4665.440364437338,4218.4101797652065,324.63146102681856,4124.693188500045,-93.7169912651616,0
14,vag,8,4002.7875293580223,3830.910468244517,115.697812981689,3962.0859500738643,131.17548182934752,0
14,vag,9,4270.181444490114,3473.1648006257865,731.0545152901644,4384.798179057716,911.6333784319295,1
14,nsga,0,3436.350297118406,3276.1516326270707,509.7837591735845,3757.2652420030277,481.1136093759569,1
14,nsga,1,4876.785766024791,4442.547886505486,427.3806631207469,4497.058021705714,54.51013520022843,0
14,nsga,2,4329.984854528513,4182.551273801625,481.3550660598989,4637.785197538786,455.2339237371607,1
14,nsga,3,3996.6462104925918,3868.8834541834954,442.04336859793136,4634.844314225895,765.9608600423994,1
14,nsga,4,2890.046601106091,2763.687215094301,357.5747746913985,3193.1719186200653,429.4847035257644,1
14,nsga,5,2889.986300840507,2767.114972057294,467.91167530147754,3224.3726633062874,457.2576912489935,1
14,nsga,6,2645.2090304204985,2544.4793590970503,369.64070027986077,2969.9895943106167,425.5102352135664,1
14,nsga,7,4665.440364437338,4145.2090915752,604.7960684354033,5033.806550582798,888.5974590075984,1
14,nsga,8,4002.7875293580223,3804.8811991508933,403.71580823220995,4280.370276165327,475.4890770144334,1
14,nsga,9,4270.181444490114,4142.155135472893,571.136958341919,4936.07507745768,793.9199419847873,1
15,dg,0,3436.350297118406,3229.932326885999,445.1689729649468,3793.993638036957,564.0613111509579,1
15,dg,1,4876.785766024791,4559.798117249211,552.7387014440973,5417.199440485096,857.4013232358848,1
15,dg,2,4329.984854528513,4124.843868291366,490.73186923800006,4609.038974685826,484.1951063944607,1
15,dg,3,3996.6462104925918,3778.138829547555,571.6428930969581,4920.072799856918,1141.9339703093633,1
15,dg,4,2890.046601106091,2702.4338090764604,395.8975573775773,3342.717182803959,640.2833737274987,1
15,dg,5,2889.986300840507,2699.583544423581,455.9689672046389,3137.952495429973,438.3689510063923,1
15,dg,6,2645.2090304204985,2539.117365749347,440.50443974278727,2583.3378669053595,44.22050115601269,0
15,dg,7,4665.440364437338,4426.14760686917,532.3588027828362,4940.307573258178,514.1599663890083,1
15,dg,8,4002.7875293580223,3812.824701576356,451.4297010797257,4016.327668514025,203.50296693766904,1
15,dg,9,4270.181444490114,4071.6605637511675,438.9277622671296,4401.096078571796,329.43551482062867,1
15,rosa,0,3436.350297118406,3050.826628987783,507.5180768580131,3511.1563131532735,460.32968416549056,1
15,rosa,1,4876.785766024791,4938.365080102286,448.4075575653619,5443.58364139824,505.2185612959538,1
15,rosa,2,4329.984854528513,4219.206879580799,478.8563981669263,4479.557811614821,260.35093203402175,1
15,rosa,3,3996.6462104925918,3618.187637875514,548.2062799817593,3710.821255711761,92.63361783624669,0
15,rosa,4,2890.046601106091,2530.8327416101392,442.39444598604865,3214.3548933917536,683.5221517816144,1
15,rosa,5,2889.986300840507,2647.6962067040045,387.52192116482024,2601.8282558271458,-45.867950876858686,0
15,rosa,6,2645.2090304204985,2337.230853602983,388.3157030533555,2839.0939458675143,501.86309226453113,1
15,rosa,7,4665.440364437338,4399.505663285056,549.2918948060942,4608.079754145179,208.57409086012376,0
15,rosa,8,4002.7875293580223,3841.6284622534267,449.42564746784683,4648.155590334827,806.5271280814004,1
15,rosa,9,4270.181444490114,3870.917409500169,566.5422824918744,3877.991359059864,7.073949559694938,0
15,vag,0,3436.350297118406,3378.6182944974653,114.4915330165822,3442.8556744154207,64.23737991795542,1
15,vag,1,4876.785766024791,4308.96963848807,672.2489152661333,5270.032542115618,961.0629036275477,1
15,vag,2,4329.984854528513,4296.334478500386,111.84434659089332,4072.326716884508,-224.00776161587737,0
15,vag,3,3996.6462104925918,3312.4499162655334,669.5851509796161,3839.2200809836554,526.770164718122,0
15,vag,4,2890.046601106091,2319.572883274988,573.3049645568343,2826.5207610515117,506.9478777765239,0
15,vag,5,2889.986300840507,2251.95174185724,644.7933634185442,3521.905652645517,1269.953910788277,1
15,vag,6,2645.2090304204985,2480.170273636504,133.98874209148198,2596.9691031304405,116.79882949393641,0
15,vag,7,4665.440364437338,4356.629506820394,363.99780596975324,5136.33979158293,779.7102847625356,1
15,vag,8,4002.7875293580223,3359.5061765519827,694.4342874202324,5426.4312112658645,2066.925034713882,1
15,vag,9,4270.181444490114,4275.418263747912,82.60787750913761,4170.94942411171,-104.46883963620166,0
15,nsga,0,3436.350297118406,3278.8074865975736,363.94214731115727,3783.133296710884,504.3258101133106,1
15,nsga,1,4876.785766024791,4040.0012002941726,501.02368786584685,4846.426918962834,806.4257186686614,0
15,nsga,2,4329.984854528513,3937.9589192530825,511.74171682524434,4565.56822211218,627.6093028590972,1
